cuadro,distCruda,distFiltrada
545,216.94,216.94
546,216.94,216.94
547,216.94,216.94
548,216.94,216.94
549,210.40,216.94
550,223.90,216.94
551,223.90,216.94
552,223.90,216.94
553,228.79,217.83
554,228.79,219.21
555,233.91,220.76
556,233.91,222.96
557,233.91,225.44
752,232.61,227.58
753,232.61,229.47
754,232.61,231.22
755,237.89,232.46
756,237.89,233.44
757,237.89,233.86
758,237.89,234.53
759,237.89,235.43
766,237.89,236.28
767,237.89,237.10
768,237.89,237.91
769,237.89,238.19
770,237.89,238.20
771,237.89,238.10
772,237.89,238.00
773,34.46,237.93
774,34.46,237.89
775,34.46,237.88
776,34.43,211.11
777,34.43,167.89
778,34.43,121.16
779,34.43,76.66
780,34.43,34.22
781,34.63,20.07
782,34.63,22.91
783,34.89,29.17
784,34.89,33.03
785,34.89,34.80
786,34.89,35.39
787,34.89,35.41
788,34.89,35.25
789,34.55,35.07
790,34.55,34.97
791,34.55,34.91
792,34.98,34.88
793,34.98,34.87
794,34.98,34.88
795,34.89,34.88
796,34.89,34.89
797,34.57,34.89
798,34.57,34.89
799,34.57,34.89
800,34.57,34.85
801,34.98,34.79
802,34.98,34.72
803,34.98,34.65
804,34.98,34.63
805,27.24,34.68
806,27.24,34.77
807,27.24,34.87
808,27.24,33.97
809,34.46,32.48
810,34.80,30.76
811,34.80,29.01
812,34.80,28.25
813,34.80,29.09
814,34.80,30.72
815,34.69,32.60
816,35.63,34.44
817,35.18,35.24
818,34.98,35.38
819,34.98,35.27
820,34.98,35.11
821,34.98,35.00
822,34.57,34.95
823,34.60,34.96
824,34.60,34.96
825,34.60,34.92
826,34.89,34.85
827,34.46,34.77
828,34.46,34.69
829,34.46,34.61
830,34.52,34.57
831,34.89,34.55
832,34.89,34.54
833,34.89,34.53
834,34.43,34.51
835,34.49,34.51
836,34.49,34.51
837,34.49,34.51
838,34.49,34.51
839,34.43,34.50
840,34.43,34.50
841,34.43,34.49
842,34.49,34.49
843,34.49,34.49
844,34.63,34.49
845,34.63,34.49
846,34.52,34.49
847,34.52,34.49
848,34.52,34.50
849,34.46,34.50
850,34.49,34.51
851,34.49,34.52
852,34.49,34.52
853,34.49,34.51
854,34.38,34.50
855,23.97,34.50
856,23.97,34.49
857,24.08,34.47
858,24.08,33.12
859,24.08,31.06
860,24.08,28.74
861,24.08,26.40
862,24.08,24.16
863,24.01,23.33
864,34.32,23.28
865,34.32,23.52
866,34.49,23.78
867,34.49,25.29
868,34.49,27.42
869,34.98,29.76
870,34.98,32.10
871,34.98,34.35
872,34.98,35.26
873,34.98,35.44
874,145.38,35.32
875,145.38,35.17
876,145.38,35.08
877,145.38,49.32
878,145.38,71.68
879,145.38,96.72
880,145.38,121.36
881,223.90,144.95
882,223.90,153.31
883,250.71,153.11
884,250.71,160.65
885,250.71,173.73
886,250.71,193.02
887,219.21,215.11
888,219.21,237.83
889,219.21,249.95
890,228.79,253.19
891,228.79,248.81
892,228.79,241.87
893,228.79,235.14
894,228.79,229.31
895,228.79,227.08
896,223.90,226.85
897,223.90,227.40
898,223.90,228.05
899,223.90,227.89
900,219.21,227.18
901,219.21,226.19
902,219.21,225.10
903,222.71,223.85
904,216.94,222.74
905,216.94,221.74
906,216.94,220.79
907,222.71,219.87
908,222.71,219.10
909,230.05,219.31
910,230.05,220.03
911,230.05,220.93
912,230.05,222.76
913,223.90,225.05
914,240.63,227.00
915,240.63,228.68
916,240.63,230.19
917,247.75,232.05
918,237.89,234.11
919,237.89,236.26
920,237.89,238.43
921,253.75,240.59
956,225.10,241.03
957,173.01,240.52
958,206.25,239.67
959,206.25,237.14
960,215.82,232.64
961,215.82,227.63
962,189.45,221.41
963,189.45,214.72
964,189.45,209.62
965,190.31,204.67
966,239.25,199.73
967,239.25,195.96
968,239.25,192.80
969,225.10,194.33
970,147.43,200.35
971,147.43,208.30
972,147.43,216.57
973,147.43,214.43
976,223.90,201.80
977,202.27,184.28
978,202.27,165.98
979,202.27,155.72
982,145.89,160.31
983,145.89,172.74
984,145.89,187.13
985,218.07,200.67
986,218.07,205.86
987,218.07,206.49
988,40.49,197.86
989,40.49,184.95
990,40.49,171.26
991,38.48,144.28
992,38.48,110.59
993,29.76,82.82
994,29.76,59.14
995,40.30,37.53
996,40.30,30.47
997,40.30,31.32
998,40.30,34.51
999,29.76,37.32
1000,29.76,39.13
1001,29.76,40.14
1002,31.15,39.49
1003,31.15,37.75
1004,32.71,35.59
1005,32.71,33.39
1006,29.42,31.30
1019,261.68,30.50
1022,24.05,30.43
1023,24.94,30.64
1024,24.94,30.66
1025,24.94,29.91
1026,23.65,28.73
1027,23.65,27.38
1028,24.67,25.97
1029,24.23,24.79
1030,24.23,24.29
1031,24.69,24.15
1032,24.69,24.14
1033,24.69,24.22
1034,24.44,24.31
1035,24.40,24.40
1036,24.40,24.48
1037,24.40,24.54
1038,24.63,24.53
1039,24.63,24.48
1040,24.63,24.45
1041,24.59,24.46
1042,24.59,24.48
1043,24.67,24.52
1044,24.88,24.56
1045,24.88,24.61
1046,24.91,24.63
1047,24.91,24.68
1048,24.86,24.73
1049,24.86,24.78
1050,24.75,24.83
1051,24.92,24.88
1052,24.92,24.90
1053,25.16,24.91
1054,25.16,24.91
1055,25.16,24.91
1056,25.16,24.95
1057,25.16,25.00
1058,25.12,25.06
1059,25.12,25.11
1060,25.12,25.16
1061,25.12,25.17
1062,25.07,25.17
1063,25.07,25.15
1064,25.07,25.13
1065,25.21,25.12
1066,25.15,25.11
1067,25.15,25.11
1068,25.18,25.12
1069,25.18,25.12
1070,25.18,25.14
1071,25.18,25.15
1072,25.61,25.16
1073,25.61,25.17
1074,25.61,25.18
1075,25.61,25.24
1146,286.78,25.32
1147,288.75,25.42
1148,260.06,25.51
1149,260.06,56.67
1150,260.06,119.39
1151,243.43,143.50
1152,237.89,213.17
1153,237.89,237.28
1154,237.89,257.46
1155,174.46,260.49
1156,174.46,255.58
1157,237.89,248.10
1158,237.89,241.03
1159,237.89,237.21
1161,261.68,236.08
1162,261.68,236.27
1163,199.38,236.86
1164,199.38,237.41
1165,196.57,237.76
1166,196.57,232.97
1167,196.57,225.38
1168,196.57,216.39
1169,183.64,207.15
1170,183.64,198.16
1171,183.64,194.45
1172,175.19,191.98
1173,239.25,190.10
1174,239.25,188.18
1175,239.25,186.04
